"Story","Title","Result","Date","Stability","Duration (s)"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2024-01-10T19:38:13.750239879Z[Etc/UTC]","0.0","1.25"
"Playing the game","After the game has finished the answer can be revealed via via GET /api/game/{id}/answer","SUCCESS","2024-01-10T19:38:15.85837631Z[Etc/UTC]","0.0","0.08"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2024-01-10T19:38:16.234080779Z[Etc/UTC]","0.0","0.05"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2024-01-10T19:38:16.245105752Z[Etc/UTC]","0.0","0.06"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2024-01-10T19:38:16.395749156Z[Etc/UTC]","0.0","0.03"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2024-01-10T19:38:16.518927747Z[Etc/UTC]","0.0","0.03"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2024-01-10T19:38:16.530834219Z[Etc/UTC]","0.0","0.05"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/history","SUCCESS","2024-01-10T19:38:16.670348063Z[Etc/UTC]","0.0","0.03"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-10T19:38:17.981310347Z[Etc/UTC]","0.0","0.59"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-10T19:38:17.981865064Z[Etc/UTC]","0.0","2.74"
