"Story","Title","Result","Date","Stability","Duration (s)"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2024-01-09T19:26:49.25730646Z[Etc/UTC]","0.0","1.42"
"Playing the game","After the game has finished the answer can be revealed via via GET /api/game/{id}/answer","SUCCESS","2024-01-09T19:26:51.448568685Z[Etc/UTC]","0.0","0.11"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2024-01-09T19:26:51.747320976Z[Etc/UTC]","0.0","0.04"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2024-01-09T19:26:51.765464735Z[Etc/UTC]","0.0","0.04"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2024-01-09T19:26:51.922309215Z[Etc/UTC]","0.0","0.04"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2024-01-09T19:26:52.03152553Z[Etc/UTC]","0.0","0.03"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2024-01-09T19:26:52.12029667Z[Etc/UTC]","0.0","0.06"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/history","SUCCESS","2024-01-09T19:26:52.172487349Z[Etc/UTC]","0.0","0.04"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-09T19:26:53.409538552Z[Etc/UTC]","0.0","0.63"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-09T19:26:53.409940656Z[Etc/UTC]","0.0","2.7"
