"Story","Title","Result","Date","Stability","Duration (s)"
"Wordle Status Check","We can check the status of the Wordle service by sending a GET to /api/service","SUCCESS","2024-01-18T19:32:39.878138208Z[Etc/UTC]","0.0","2.19"
"Creating a new game","The new game should initially be In Progress","SUCCESS","2024-01-18T19:32:39.867375326Z[Etc/UTC]","0.0","2.54"
"Creating a new game","The new game should contain no moves","SUCCESS","2024-01-18T19:32:44.030735971Z[Etc/UTC]","0.0","0.17"
"Creating a new game","Each new game should be assigned a unique id","SUCCESS","2024-01-18T19:32:44.672771285Z[Etc/UTC]","0.0","0.31"
"Getting hints","We can request a hint for the current game via GET /api/game/{id}/hint","SUCCESS","2024-01-18T19:32:45.474102907Z[Etc/UTC]","0.0","0.32"
"Getting hints","Requesting another hint","SUCCESS","2024-01-18T19:32:47.543274828Z[Etc/UTC]","0.0","0.72"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2024-01-18T19:32:42.98166103Z[Etc/UTC]","0.0","0.19"
"Playing the game","After the game has finished the answer can be revealed via via GET /api/game/{id}/answer","SUCCESS","2024-01-18T19:32:43.963485295Z[Etc/UTC]","0.0","0.25"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2024-01-18T19:32:45.070250359Z[Etc/UTC]","0.0","0.22"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2024-01-18T19:32:45.314059796Z[Etc/UTC]","0.0","0.32"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2024-01-18T19:32:45.52951956Z[Etc/UTC]","0.0","0.16"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/guesses","SUCCESS","2024-01-18T19:32:46.002344604Z[Etc/UTC]","0.0","0.17"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2024-01-18T19:32:46.082093994Z[Etc/UTC]","0.0","0.28"
"Playing the game","Game results are recorded in the game history","SUCCESS","2024-01-18T19:32:46.360225728Z[Etc/UTC]","0.0","0.24"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2024-01-18T19:32:46.582910438Z[Etc/UTC]","0.0","0.19"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-18T19:32:47.54818256Z[Etc/UTC]","0.0","0.48"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-18T19:32:47.548633324Z[Etc/UTC]","0.0","0.93"
"Registering a new user","Password should be stored as a hashed password","SUCCESS","2024-01-18T19:32:41.339290877Z[Etc/UTC]","0.0","1.07"
"Registering a new user","Email must be unique","SUCCESS","2024-01-18T19:32:42.944474228Z[Etc/UTC]","0.0","0.23"
"Registering a new user","Players need to register before they can login and play","SUCCESS","2024-01-18T19:32:43.257834254Z[Etc/UTC]","0.0","0.24"
"Registering a new user","Logged-on players can play the game","SUCCESS","2024-01-18T19:32:43.522696602Z[Etc/UTC]","0.0","0.27"
"Registering a new user","Password must not be empty","SUCCESS","2024-01-18T19:32:44.048929022Z[Etc/UTC]","0.0","0.12"
"Registering a new user","Users cannot access the game without logging on","SUCCESS","2024-01-18T19:32:44.2048521Z[Etc/UTC]","0.0","0.2"
"Registering a new user","Players can log on with their username and password","SUCCESS","2024-01-18T19:32:44.504062446Z[Etc/UTC]","0.0","0.26"
