"Story","Title","Result","Date","Stability","Duration (s)"
"When playing the game via the API","Fetching game history","SUCCESS","2022-08-06T12:43:42.716950288Z[Etc/UTC]","0.0","0.31"
"When playing the game via the API","Playing a game with one try","SUCCESS","2022-08-06T12:43:43.03912679Z[Etc/UTC]","0.0","0.07"
"When playing the game via the API","Creating a new game should return a unique id","SUCCESS","2022-08-06T12:43:43.114880514Z[Etc/UTC]","0.0","0.05"
"When playing the game via the API","Trying to reveal the answer too soon","SUCCESS","2022-08-06T12:43:43.16424795Z[Etc/UTC]","0.0","0.07"
"When playing the game via the API","Fetching the game state","SUCCESS","2022-08-06T12:43:43.237310845Z[Etc/UTC]","0.0","0.06"
"Playing Wordle","Correctly placed letters","SUCCESS","2022-08-06T12:43:43.669789946Z[Etc/UTC]","0.0","0.05"
"Playing Wordle","Letters that are present but not in the right place","SUCCESS","2022-08-06T12:43:43.729739897Z[Etc/UTC]","0.0","0.01"
"Playing Wordle","Letters that do not form valid words should be rejected","SUCCESS","2022-08-06T12:43:43.752391544Z[Etc/UTC]","0.0","0.05"
"Playing Wordle","Two incorrectly placed letters","SUCCESS","2022-08-06T12:43:43.810510075Z[Etc/UTC]","0.0","0.01"
"Playing Wordle","Player guesses the right word","SUCCESS","2022-08-06T12:43:43.829660983Z[Etc/UTC]","0.0","0.01"
"Playing Wordle","Player runs out of tries","SUCCESS","2022-08-06T12:43:43.847628879Z[Etc/UTC]","0.0","0.01"
