"Story","Title","Result","Date","Stability","Duration (s)"
"Wordle Status Check","We can check the status of the Wordle service by sending a GET to /api/service","SUCCESS","2024-01-21T19:55:44.35972055Z[Etc/UTC]","0.0","2.19"
"Creating a new game","The new game should initially be In Progress","SUCCESS","2024-01-21T19:55:44.371852826Z[Etc/UTC]","0.0","2.54"
"Creating a new game","The new game should contain no moves","SUCCESS","2024-01-21T19:55:48.410135222Z[Etc/UTC]","0.0","0.28"
"Creating a new game","Each new game should be assigned a unique id","SUCCESS","2024-01-21T19:55:49.036024853Z[Etc/UTC]","0.0","0.17"
"Game history and statistics","Game results are recorded in the game history","SUCCESS","2024-01-21T19:55:47.510914446Z[Etc/UTC]","0.0","0.36"
"Game history and statistics","Game statistics can be retrieved for the current player","SUCCESS","2024-01-21T19:55:48.940932757Z[Etc/UTC]","0.0","0.19"
"Getting hints","We can request a hint for the current game via GET /api/game/{id}/hint","SUCCESS","2024-01-21T19:55:49.906090774Z[Etc/UTC]","0.0","0.27"
"Getting hints","Requesting another hint","SUCCESS","2024-01-21T19:55:52.024298984Z[Etc/UTC]","0.0","0.67"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2024-01-21T19:55:49.529336038Z[Etc/UTC]","0.0","0.24"
"Playing the game","After the game has finished the answer can be revealed via via GET /api/game/{id}/answer","SUCCESS","2024-01-21T19:55:49.637930897Z[Etc/UTC]","0.0","0.28"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2024-01-21T19:55:50.067052503Z[Etc/UTC]","0.0","0.27"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2024-01-21T19:55:50.24026946Z[Etc/UTC]","0.0","0.22"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2024-01-21T19:55:50.574727094Z[Etc/UTC]","0.0","0.24"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/guesses","SUCCESS","2024-01-21T19:55:50.683964689Z[Etc/UTC]","0.0","0.21"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2024-01-21T19:55:51.17932211Z[Etc/UTC]","0.0","0.18"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2024-01-21T19:55:51.231729432Z[Etc/UTC]","0.0","0.24"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-21T19:55:52.027877878Z[Etc/UTC]","0.0","0.41"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-21T19:55:52.028440056Z[Etc/UTC]","0.0","0.76"
"Registering a new user","Password should be stored as a hashed password","SUCCESS","2024-01-21T19:55:45.82547737Z[Etc/UTC]","0.0","1.09"
"Registering a new user","Email must be unique","SUCCESS","2024-01-21T19:55:47.400547926Z[Etc/UTC]","0.0","0.22"
"Registering a new user","Players need to register before they can login and play","SUCCESS","2024-01-21T19:55:47.714785716Z[Etc/UTC]","0.0","0.24"
"Registering a new user","Logged-on players can play the game","SUCCESS","2024-01-21T19:55:47.980939681Z[Etc/UTC]","0.0","0.15"
"Registering a new user","Password must not be empty","SUCCESS","2024-01-21T19:55:48.485320878Z[Etc/UTC]","0.0","0.06"
"Registering a new user","Users cannot access the game without logging on","SUCCESS","2024-01-21T19:55:48.575536175Z[Etc/UTC]","0.0","0.27"
"Registering a new user","Players can log on with their username and password","SUCCESS","2024-01-21T19:55:49.004813599Z[Etc/UTC]","0.0","0.31"
"Game Rules","Letters should be displayed with the correct color","SUCCESS","2024-01-21T19:55:38.901310671Z[Etc/UTC]","0.0","0.25"
"Game Rules","Player runs out of tries","SUCCESS","2024-01-21T19:55:38.910526895Z[Etc/UTC]","0.0","0.15"
"Game Rules","Letters that are present but not in the right place","SUCCESS","2024-01-21T19:55:39.084261432Z[Etc/UTC]","0.0","0.02"
"Game Rules","Player guesses the right word","SUCCESS","2024-01-21T19:55:39.086636784Z[Etc/UTC]","0.0","0.02"
"Game Rules","Correctly placed letters","SUCCESS","2024-01-21T19:55:39.111487076Z[Etc/UTC]","0.0","0.03"
"Game Rules","Letters that do not form valid words should be rejected","SUCCESS","2024-01-21T19:55:39.134195584Z[Etc/UTC]","0.0","0.05"
"Game Rules","Two incorrectly placed letters","SUCCESS","2024-01-21T19:55:39.16191423Z[Etc/UTC]","0.0","0.03"
"Hints","If the player asks for another hint, all the hints should be shown","SUCCESS","2024-01-21T19:55:38.859679489Z[Etc/UTC]","0.0","0.2"
"Hints","Possible hints for a word","SUCCESS","2024-01-21T19:55:39.071551614Z[Etc/UTC]","0.0","0.08"
"Hints","The word starts with a particular letter","SUCCESS","2024-01-21T19:55:39.089458739Z[Etc/UTC]","0.0","0.03"
"Game Overview","Player runs out of tries and loses","SUCCESS","2024-01-21T19:55:38.838563154Z[Etc/UTC]","0.0","0.22"
"Game Overview","Player guesses the right word and wins","SUCCESS","2024-01-21T19:55:38.918729409Z[Etc/UTC]","0.0","0.14"
