"Story","Title","Result","Date","Stability","Duration (s)"
"Creating a new game","The new game should contain no moves","SUCCESS","2024-01-10T19:38:15.851936169Z[Etc/UTC]","0.0","0.07"
"Creating a new game","Each new game should be assigned a unique id","SUCCESS","2024-01-10T19:38:16.097484549Z[Etc/UTC]","0.0","0.03"
"Getting hints","We can request a hint for the current game via GET /api/game/{id}/hint","SUCCESS","2024-01-10T19:38:16.335662047Z[Etc/UTC]","0.0","0.04"
"Getting hints","Requesting another hint","SUCCESS","2024-01-10T19:38:17.975507036Z[Etc/UTC]","0.0","2.2"
"Playing the game","After the game has finished the answer can be revealed via via GET /api/game/{id}/answer","SUCCESS","2024-01-10T19:38:15.85837631Z[Etc/UTC]","0.0","0.08"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2024-01-10T19:38:16.234080779Z[Etc/UTC]","0.0","0.05"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2024-01-10T19:38:16.245105752Z[Etc/UTC]","0.0","0.06"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2024-01-10T19:38:16.395749156Z[Etc/UTC]","0.0","0.03"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2024-01-10T19:38:16.518927747Z[Etc/UTC]","0.0","0.03"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2024-01-10T19:38:16.530834219Z[Etc/UTC]","0.0","0.05"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/history","SUCCESS","2024-01-10T19:38:16.670348063Z[Etc/UTC]","0.0","0.03"
"Playing the game","Should render each letter with the appropriate color","SUCCESS","2024-01-10T19:38:17.981310347Z[Etc/UTC]","0.0","0.59"
"Playing the game","Should show row of colored cells","SUCCESS","2024-01-10T19:38:17.981865064Z[Etc/UTC]","0.0","2.74"
"Game Rules","Letters should be displayed with the correct color","SUCCESS","2024-01-10T19:38:07.216642483Z[Etc/UTC]","0.0","0.42"
"Game Rules","Player runs out of tries","SUCCESS","2024-01-10T19:38:07.259909951Z[Etc/UTC]","0.0","0.27"
"Game Rules","Player guesses the right word","SUCCESS","2024-01-10T19:38:07.551725336Z[Etc/UTC]","0.0","0.04"
"Game Rules","Letters that are present but not in the right place","SUCCESS","2024-01-10T19:38:07.57525722Z[Etc/UTC]","0.0","0.04"
"Game Rules","Letters that do not form valid words should be rejected","SUCCESS","2024-01-10T19:38:07.625787337Z[Etc/UTC]","0.0","0.09"
"Game Rules","Two incorrectly placed letters","SUCCESS","2024-01-10T19:38:07.636334629Z[Etc/UTC]","0.0","0.02"
"Game Rules","Correctly placed letters","SUCCESS","2024-01-10T19:38:07.659992378Z[Etc/UTC]","0.0","0.01"
"Hints","If the player asks for another hint, all the hints should be shown","SUCCESS","2024-01-10T19:38:07.250808165Z[Etc/UTC]","0.0","0.28"
"Hints","The word starts with a particular letter","SUCCESS","2024-01-10T19:38:07.563484956Z[Etc/UTC]","0.0","0.09"
"Hints","Possible hints for a word","SUCCESS","2024-01-10T19:38:07.5699546Z[Etc/UTC]","0.0","0.13"
"Game Overview","Player runs out of tries and loses","SUCCESS","2024-01-10T19:38:07.23327487Z[Etc/UTC]","0.0","0.29"
"Game Overview","Player guesses the right word and wins","SUCCESS","2024-01-10T19:38:07.246814882Z[Etc/UTC]","0.0","0.28"
