"Story","Title","Result","Date","Stability","Duration (s)"
"Creating a new game","Each new game should be assigned a unique id","SUCCESS","2023-08-22T08:07:26.495481374Z[Etc/UTC]","0.0","0.02"
"Creating a new game","The new game should contain no moves","SUCCESS","2023-08-22T08:07:26.583901971Z[Etc/UTC]","0.0","0.01"
"Playing the game","Invalid words should be rejected with a 403 error","SUCCESS","2023-08-22T08:07:24.313575882Z[Etc/UTC]","0.0","0.02"
"Playing the game","This is an example of a complete game played via the API","SUCCESS","2023-08-22T08:07:24.519652605Z[Etc/UTC]","0.0","0.04"
"Playing the game","We make a move by posting a word to the with the /api/game/{id}/word end-point","SUCCESS","2023-08-22T08:07:25.74450121Z[Etc/UTC]","0.0","0.02"
"Playing the game","If we try to ask for the answer by sending a GET to /api/game/{id}/answer","SUCCESS","2023-08-22T08:07:25.858487995Z[Etc/UTC]","0.0","0.02"
"Playing the game","We can get the current game result by sending a GET to /api/game/{id}/result","SUCCESS","2023-08-22T08:07:25.98674854Z[Etc/UTC]","0.0","0.03"
"Playing the game","We can check the current state of the game by sending a GET to /api/game/{id}/history","SUCCESS","2023-08-22T08:07:26.102698847Z[Etc/UTC]","0.0","0.01"
"Playing the game","When we make a move, the move is recorded in the game history","SUCCESS","2023-08-22T08:07:26.299303663Z[Etc/UTC]","0.0","0.02"
"Showing game history","Should show row of colored cells","SUCCESS","2023-08-22T08:07:27.323322205Z[Etc/UTC]","0.0","0.21"
"Showing game history","Should show row of colored cells","SUCCESS","2023-08-22T08:07:27.323322205Z[Etc/UTC]","0.0","0.17"
"Showing game history","Should show row of colored cells","SUCCESS","2023-08-22T08:07:27.323322205Z[Etc/UTC]","0.0","0.13"
"Asking for hints","We can request a hint for the current game via GET /api/game/{id}/hint","SUCCESS","2023-08-22T08:07:20.798092897Z[Etc/UTC]","0.0","0.14"
"Asking for hints","Requesting another hint","SUCCESS","2023-08-22T08:07:27.302632572Z[Etc/UTC]","0.0","0.2"
"Asking for hints","Requesting another hint","SUCCESS","2023-08-22T08:07:27.302632572Z[Etc/UTC]","0.0","0.16"
"Asking for hints","Requesting another hint","SUCCESS","2023-08-22T08:07:27.302632572Z[Etc/UTC]","0.0","0.11"
"Game Rules","Player runs out of tries","SUCCESS","2023-08-22T08:07:32.650887122Z[Etc/UTC]","0.0","0.33"
"Game Rules","Player guesses the right word","SUCCESS","2023-08-22T08:07:33.020450874Z[Etc/UTC]","0.0","0.11"
"Game Rules","Two incorrectly placed letters","SUCCESS","2023-08-22T08:07:33.178601321Z[Etc/UTC]","0.0","0.12"
"Game Rules","Letters that do not form valid words should be rejected","SUCCESS","2023-08-22T08:07:33.381784178Z[Etc/UTC]","0.0","0.33"
"Game Rules","Letters that do not form valid words should be rejected","SUCCESS","2023-08-22T08:07:33.381784178Z[Etc/UTC]","0.0","0.33"
"Game Rules","Letters that do not form valid words should be rejected","SUCCESS","2023-08-22T08:07:33.381784178Z[Etc/UTC]","0.0","0.33"
"Game Rules","Letters that are present but not in the right place","SUCCESS","2023-08-22T08:07:33.741063445Z[Etc/UTC]","0.0","0.09"
"Game Rules","Correctly placed letters","SUCCESS","2023-08-22T08:07:33.849601198Z[Etc/UTC]","0.0","0.09"
"Hints","If the player asks for another hint, all the hints should be shown","SUCCESS","2023-08-22T08:07:33.193284685Z[Etc/UTC]","0.0","0.14"
"Hints","The word starts with a particular letter","SUCCESS","2023-08-22T08:07:33.397111654Z[Etc/UTC]","0.0","0.12"
"Hints","Possible hints for a word","SUCCESS","2023-08-22T08:07:33.558290855Z[Etc/UTC]","0.0","0.36"
"Hints","Possible hints for a word","SUCCESS","2023-08-22T08:07:33.558290855Z[Etc/UTC]","0.0","0.36"
"Hints","Possible hints for a word","SUCCESS","2023-08-22T08:07:33.558290855Z[Etc/UTC]","0.0","0.36"
"Hints","Possible hints for a word","SUCCESS","2023-08-22T08:07:33.558290855Z[Etc/UTC]","0.0","0.36"
"Hints","Possible hints for a word","SUCCESS","2023-08-22T08:07:33.558290855Z[Etc/UTC]","0.0","0.36"
"Wordle Overview","Player runs out of tries and loses","SUCCESS","2023-08-22T08:07:32.672258207Z[Etc/UTC]","0.0","0.31"
"Wordle Overview","Player guesses the right word and wins","SUCCESS","2023-08-22T08:07:33.030841961Z[Etc/UTC]","0.0","0.1"
